text,Username,Timestamp
sexy Donald Trump.,sexy__halloween,Wed Jun 23 09:39:06 +0000 2021
"RT @alfonslopeztena: Saudi operatives who killed Khashoggi received paramilitary training in US approved by Trump's State Dept, as they wer…",WildeOscarCat,Wed Jun 23 09:39:06 +0000 2021
"RT @cchukudebelu: Interesting to recall how the Trump Administration ""temporarily banned"" legal immigration from Nigeria, for some flimsy r…",mrerickcarter,Wed Jun 23 09:39:07 +0000 2021
RT @Rconstantino: 11:59 - Apoiadores de Trump invadiram o Capitólio e o ex-presidente é culpado por ter incentivado a marcha (apesar de ter…,araujo575,Wed Jun 23 09:39:09 +0000 2021
"RT @secupp: What a baby.

“Trump Wanted His Justice Department to Stop ‘SNL’ From Teasing Him” @thedailybeast",chiaxiong,Wed Jun 23 09:39:09 +0000 2021
"RT @cchukudebelu: Interesting to recall how the Trump Administration ""temporarily banned"" legal immigration from Nigeria, for some flimsy r…",Homeleopard,Wed Jun 23 09:39:09 +0000 2021
"Without the drag of a petulant UK, and an adversarial Trump, there's a new appreciation of collective action amongs… https://t.co/Zk6nLfIkiQ",NickFozz,Wed Jun 23 09:39:10 +0000 2021
@AnIllicitWriter @lamamitavita ACAB includes the Capitol Police that paid 10x more attention to #ForceTheVote… https://t.co/AdzOLvw5ac,JustinInBmore,Wed Jun 23 09:39:10 +0000 2021
"RT @KatieJohnson214: Trump organization 
""The greatest threat to America isn't ISIS, it's the Republican Party"" https://t.co/79G9OeYoBz",Rosemarie4311,Wed Jun 23 09:39:10 +0000 2021
RT @bennyjohnson: LEAKED DOCUMENTS from Iowa School System show Teachers are FORCED to classify ‘Make America Great Again” as a type of “ra…,Deaf_MAGA_Pede,Wed Jun 23 09:39:11 +0000 2021
"Trump continued to fuel the pipe dream that he could be reinstated as president, telling supporters to look forward… https://t.co/nV0Pr0p7FV",Germain6,Wed Jun 23 09:39:12 +0000 2021
RT @MuellerSheWrote: Alright. I’m going to say it. I think there’s a coordinated misinformation campaign targeting the DoJ. Garland did NOT…,SerenityTau,Wed Jun 23 09:39:13 +0000 2021
"RT @SenSchumer: There is a rot at the center of the modern Republican party.

Donald Trump’s Big Lie has lit a wildfire of voter suppressio…",gorsuch_brenda,Wed Jun 23 09:39:13 +0000 2021
"RT @DonaldJTrumpJr: Looking forward to seeing all my friends in Alabama for the Tennessee Valley Hunting and Fishing Expo on July 10. 

Don…",GContrarian,Wed Jun 23 09:39:14 +0000 2021
"RT @Wizard_Predicts: #NEW: Statement on Georgia election integrity from Donald J. Trump, 45th President of the United States. 🇺🇸 https://t.…",escals,Wed Jun 23 09:39:14 +0000 2021
"RT @StefSimanowitz: 10/ Comparing UK's 'Russia Report' against US’s #RussiaReport is sobering

Words - 🇺🇸190,724 / 🇬🇧19,728

NUMBER OF MENT…",JaneWel76498607,Wed Jun 23 09:39:16 +0000 2021
@FlipBlue2022 @Sheila413375 @FJnyc @MollyJongFast I also remember the mass consensus of all the data geniuses who g… https://t.co/R68vR0JDIl,sebulon_v,Wed Jun 23 09:39:16 +0000 2021
"RT @maxasteele: The unquestioned leader of the Republican Party is a lawless, delusional black hole of self-pity, insecurity, and cruelty.…",chiaxiong,Wed Jun 23 09:39:17 +0000 2021
@rdrhwke Canadians think Americans were getting scammed. Americans got a tax break? Maybe $100/pay. Trump LOWERED t… https://t.co/7Skl7WMxOy,retiredknitwit,Wed Jun 23 09:39:17 +0000 2021
RT @joncoopertweets: The evidence of Trump’s pandemic sabotage keeps piling up. https://t.co/FtTOUT0rrF,Nando_Delarosa,Wed Jun 23 09:39:17 +0000 2021
"RT @thomaskaine5: Have you heard the newest BS from trump supporters?  ""Russia is our friend and our current allies are our foes.""",goldenhalle,Wed Jun 23 09:39:19 +0000 2021
"Trump continued to fuel the pipe dream that he could be reinstated as president, telling supporters to look forward… https://t.co/8iphwVVw7u",ialihamza91,Wed Jun 23 09:39:19 +0000 2021
RT @RBReich: Remember when McConnell got rid of the filibuster to confirm Trump's nominees? Dems could do the same...but for voting rights.…,sulasula,Wed Jun 23 09:39:21 +0000 2021
RT @TheSizzleReport: This is why the #Resistance movement is so important  🙏 https://t.co/8KvpwIQJjN,GerryAngerman,Wed Jun 23 09:39:21 +0000 2021
"RT @PalmerReport: Donald Trump just released a statement attacking Alec Baldwin, in a reminder of how irrelevant Donald Trump has become.",marlene116,Wed Jun 23 09:39:21 +0000 2021
RT @LHatesYouALot: Breaking Exclusive: Leftist Actors Disguised Themselves &amp; Pretended to Work For Conservative News Outlets During January…,MitziNickel,Wed Jun 23 09:39:21 +0000 2021
"RT @mrspanstreppon: ...In a March '17 Times of Israel article, @issacharoff reported that Adnan Mjalli was used by the Trump administration…",Di2029,Wed Jun 23 09:39:22 +0000 2021
RT @MollyJongFast: I see trump is sending out a lot of really insane statements with LOTS of odd capitalization,DTPORGE,Wed Jun 23 09:39:23 +0000 2021
"@aroseblush ?  Why is c19. The “ chiner  “ but this isnt ” indian”. And why is uncontrolled drought  n depression not the
” trump”",GarlockKen,Wed Jun 23 09:39:23 +0000 2021
RT @NickAdamsinUSA: Ron DeSantis is the greatest thing to happen to America since Donald J Trump!,BishirDeborah,Wed Jun 23 09:39:23 +0000 2021
RT @NicolleDWallace: Garland inherits dept most polluted by Trump’s demands that enemies be investigated (they were) and that his friends g…,suzi2u2,Wed Jun 23 09:39:23 +0000 2021
"RT @NotAlexSheppard: “It is coming out FAST and FURIOUS.

The 2020 Presidential Election was rigged!”

- President Trump",ArlenWms,Wed Jun 23 09:39:24 +0000 2021
New York Investigating Trump Organization Executive Matthew Calamari https://t.co/FXk10UHl9F via @YouTube,Trissie,Wed Jun 23 09:39:24 +0000 2021
‘Staggering’: Biden breaks from agenda to grapple with bloodshed plaguing big cities - POLITICO Those cities are al… https://t.co/oMa0OKypzB,State0fCorrupt,Wed Jun 23 09:39:26 +0000 2021
"RT @JLesgards: Castaner qui dit qu'il faut faire attention aux fraudes de firmes étrangères lors de votes électroniques comme aux USA 😳
Mai…",gildas97190,Wed Jun 23 09:39:27 +0000 2021
"RT @DonaldJTrumpJr: 🚨🚨🚨

Any school district that promotes racist Critical Race Theory and woke ideology should lose their taxpayer funding…",Phoenix_Alamo,Wed Jun 23 09:39:27 +0000 2021
"@patriottakes ""President Trump would never grift us for our money!"", they exclaimed, after more than four years of… https://t.co/7k9CYAGstm",HeadAsploding,Wed Jun 23 09:39:29 +0000 2021
"RT @realDailyWire: Trump Wins: Federal Judge Tosses Most Of BLM’s Claims Against President, Bill Barr, U.S. Officials Over Lafayette Park I…",cvsted,Wed Jun 23 09:39:30 +0000 2021
RT @MuellerSheWrote: Trump wanted the DoJ to investigate or stop SNL and other late-night hosts from teasing him. Am I surprised? Not one b…,ShellSheddy,Wed Jun 23 09:39:30 +0000 2021
